Time(s) | Δt(s) | Hz | Note | Cents | Amplitude
1745299775.18 | 0.01 | 349.66 | F4 | 2.13 | 0.43
1745299775.20 | 0.02 | 352.01 | F4 | 13.76 | 0.31
1745299775.20 | 0.00 | 345.17 | F4 | -20.21 | 0.33
1745299775.21 | 0.01 | 339.70 | E~4 | 2.10 | 0.27
1745299775.22 | 0.01 | 340.68 | E~4 | 7.07 | 0.32
1745299775.25 | 0.02 | 336.94 | E~4 | -12.01 | 0.32
1745299775.25 | 0.00 | 336.00 | E~4 | -16.87 | 0.26
1745299775.26 | 0.01 | 333.94 | E4 | 22.52 | 0.25
1745299775.28 | 0.02 | 332.20 | E4 | 13.48 | 0.24
1745299775.28 | 0.00 | 333.81 | E4 | 21.83 | 0.25
1745299775.29 | 0.01 | 658.83 | E5 | -1.11 | 0.36
1745299775.30 | 0.01 | 335.90 | E~4 | -17.37 | 0.24
1745299775.33 | 0.02 | 340.32 | E~4 | 5.25 | 0.20
1745299775.33 | 0.00 | 1109.29 | C#6 | 0.88 | 0.28
1745299775.34 | 0.01 | 352.99 | F4 | 18.56 | 0.32
1745299775.35 | 0.01 | 1072.69 | C~6 | -7.20 | 0.37
1745299775.37 | 0.02 | 349.62 | F4 | 1.94 | 0.33
1745299775.37 | 0.00 | 352.01 | F4 | 13.74 | 0.38
1745299775.40 | 0.02 | 349.42 | F4 | 0.93 | 0.37
1745299775.40 | 0.00 | 1058.38 | C6 | 19.54 | 0.46
1745299775.41 | 0.01 | 1094.00 | C#6 | -23.16 | 0.40
1745299775.43 | 0.02 | 352.24 | F4 | 14.88 | 0.34
1745299775.43 | 0.00 | 352.06 | F4 | 13.98 | 0.39
1745299775.44 | 0.01 | 516.81 | C5 | -21.45 | 0.37
1745299775.48 | 0.04 | 351.92 | F4 | 13.29 | 0.30
1745299775.49 | 0.01 | 349.55 | F4 | 1.59 | 0.31
1745299775.53 | 0.04 | 460.52 | A#4 | -21.08 | 0.27
1745299775.56 | 0.04 | 445.28 | A4 | 20.65 | 0.33
1745299775.56 | 0.00 | 443.15 | A4 | 12.34 | 0.35
1745299775.59 | 0.02 | 437.04 | A4 | -11.67 | 0.44
1745299775.59 | 0.00 | 223.19 | A3 | 24.95 | 0.32
1745299775.60 | 0.01 | 397.59 | G4 | 24.54 | 0.28
1745299775.62 | 0.02 | 522.28 | C5 | -3.22 | 0.34
1745299775.62 | 0.00 | 392.01 | G4 | 0.05 | 0.49
1745299775.65 | 0.02 | 494.35 | B4 | 1.62 | 0.31
1745299775.65 | 0.00 | 552.41 | C#5 | -6.10 | 0.53
1745299775.67 | 0.02 | 561.56 | C#5 | 22.34 | 0.40
1745299775.67 | 0.00 | 405.32 | G~4 | 7.88 | 0.37
1745299775.69 | 0.01 | 393.64 | G4 | 7.26 | 0.41
1745299775.73 | 0.04 | 1251.22 | E-6 | 9.32 | 0.35
1745299775.74 | 0.01 | 354.45 | F~4 | -24.32 | 0.34
1745299775.76 | 0.02 | 1104.99 | C#6 | -5.85 | 0.49
1745299775.76 | 0.00 | 349.02 | F4 | -1.06 | 0.40
1745299775.80 | 0.04 | 1103.26 | C#6 | -8.57 | 0.33
1745299775.81 | 0.01 | 1062.87 | C~6 | -23.13 | 0.35
1745299775.83 | 0.02 | 1091.42 | C~6 | 22.76 | 0.38
1745299775.83 | 0.00 | 348.27 | F4 | -4.74 | 0.34
